trip_id,arrival_time,departure_time,stop_id,timepoint,stop_sequence
r5985015_Mo-Su,06:00:00,06:00:00,n6952132234,0,0
r5985015_Mo-Su,06:02:50,06:02:50,n6952132233,0,1
r5985015_Mo-Su,06:04:22,06:04:22,n6961370881,0,2
r5985015_Mo-Su,06:06:14,06:06:14,n6961370880,0,3
r5985015_Mo-Su,06:08:20,06:08:20,n6952132232,0,4
r5985015_Mo-Su,06:09:33,06:09:33,n6935488166,0,5
r5985015_Mo-Su,06:20:01,06:20:01,n6935274797,0,6
r5985015_Mo-Su,06:21:46,06:21:46,n6935274796,0,7
r5985015_Mo-Su,06:23:40,06:23:40,n6934657653,0,8
r5985015_Mo-Su,06:27:09,06:27:09,n6934657652,0,9
r5985015_Mo-Su,06:31:10,06:31:10,n6934657651,0,10
r5985015_Mo-Su,06:36:46,06:36:46,n6952132230,0,11
r5985015_Mo-Su,06:39:56,06:39:56,n6952132229,0,12
r5985015_Mo-Su,06:43:16,06:43:16,n6952132228,0,13
r5985015_Mo-Su,06:44:47,06:44:47,n6961370879,0,14
r5985015_Mo-Su,06:48:19,06:48:19,n6952132227,0,15
r5985015_Mo-Su,06:52:59,06:52:59,n6952132226,0,16
r5985015_Mo-Su,06:55:37,06:55:37,n6952132225,0,17
r5985015_Mo-Su,06:57:28,06:57:28,n6909208700,0,18
r5985015_Mo-Su,07:00:47,07:00:47,n6909039471,0,19
r5985015_Mo-Su,07:02:39,07:02:39,n6909039470,0,20
r5985015_Mo-Su,07:06:53,07:06:53,n6909039469,0,21
r5985015_Mo-Su,07:08:46,07:08:46,n6909208699,0,22
r5985015_Mo-Su,07:11:29,07:11:29,n6952132224,0,23
r5985015_Mo-Su,07:13:04,07:13:04,n6954138440,0,24
r5985015_Mo-Su,07:14:54,07:14:54,n6924979791,0,25
r5985015_Mo-Su,07:15:43,07:15:43,n6909521615,0,26
r5985015_Mo-Su,07:16:58,07:16:58,n6909521614,0,27
r5985015_Mo-Su,07:19:53,07:19:53,n6904171078,0,28
r5985015_Mo-Su,07:20:39,07:20:39,n6904171077,0,29
r5985015_Mo-Su,07:25:00,07:25:00,n6926746688,0,30
r5986717_Mo-Su,06:00:00,06:00:00,n6952132252,0,0
r5986717_Mo-Su,06:04:11,06:04:11,n6905719608,0,1
r5986717_Mo-Su,06:07:02,06:07:02,n6905719609,0,2
r5986717_Mo-Su,06:10:38,06:10:38,n6909737822,0,3
r5986717_Mo-Su,06:11:57,06:11:57,n6924851826,0,4
r5986717_Mo-Su,06:13:03,06:13:03,n6924851825,0,5
r5986717_Mo-Su,06:14:37,06:14:37,n7049730219,0,6
r5986717_Mo-Su,06:16:17,06:16:17,n6952132251,0,7
r5986717_Mo-Su,06:20:11,06:20:11,n8756053025,0,8
r5986717_Mo-Su,06:22:46,06:22:46,n6909237619,0,9
r5986717_Mo-Su,06:25:55,06:25:55,n6909237624,0,10
r5986717_Mo-Su,06:29:05,06:29:05,n6952132250,0,11
r5986717_Mo-Su,06:32:25,06:32:25,n6952132248,0,12
r5986717_Mo-Su,06:35:13,06:35:13,n6952132247,0,13
r5986717_Mo-Su,06:38:26,06:38:26,n7049730222,0,14
r5986717_Mo-Su,06:44:13,06:44:13,n6961370878,0,15
r5986717_Mo-Su,06:47:29,06:47:29,n4107240891,0,16
r5986717_Mo-Su,06:50:22,06:50:22,n6952132246,0,17
r5986717_Mo-Su,06:53:18,06:53:18,n7049730221,0,18
