stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n768587345,,Terminus 27 Niangon Sud à Gauche,,5.3164002,-4.0892201,,,0,,,0
n768587373,,Pharmacie St Martin,,5.3198813,-4.0803926,,,0,,,0
n1227889258,,Gare lagunaire Aqualines du Plateau,,5.3158647,-4.0148847,,,0,,,0
n2381298633,,Agban Gendarmerie,,5.3608351,-4.0171229,,,0,,,0
n2444131222,,Fraternité Matin,,5.344239,-4.0182667,,,0,,,0
n2460519991,,Terminus Saint André,,5.3423405,-4.0732826,,,0,,,0
n2493226931,,Mission Libanaise Adjamé,,5.3413464,-4.0238611,,,0,,,0
n2493730483,,Gare Koumassi,,5.2942027,-3.9551669,,,0,,,0
n2760843854,,Terminus 56 Koumassi Nord-Est,,5.3121054,-3.9451593,,,0,,,0
n2948146673,,Terminus 47 Yopougon Attié,,5.3396167,-4.0832298,,,0,,,0
n3067761599,,Carrefour Obama,,5.3396157,-4.0912463,,,0,,,0
n3067766555,,Mosquée du Maroc,,5.3400523,-4.0973501,,,0,,,0
n3075945505,,Paroisse St André,,5.3423254,-4.0738295,,,0,,,0
n3137208051,,Mairie Selmer,,5.3427541,-4.0668084,,,0,,,0
n3137217828,,Lycée Williams Ponty,,5.3436761,-4.0709484,,,0,,,0
n3137243386,,Mairie Selmer Yopougon,,5.3446768,-4.0679411,,,0,,,0
n3145728412,,Carrefour Riviera 2,,5.3531115,-3.979568,,,0,,,0
n3218806159,,Ancien Terminus 32,,5.3117002,-3.9487192,,,0,,,0
n3326195828,,Cité Rouge Cocody,,5.3368705,-4.0037743,,,0,,,0
n3666057101,,Pharmacie Port-Bouët 2,,5.3470567,-4.0884501,,,0,,,0
n3950172145,,Ficgayo,,5.3493487,-4.0734515,,,0,,,0
n4029208102,,ENA,,5.3616655,-3.9973725,,,0,,,0
n4107240891,,Pressing Biétry,,5.2742845,-3.9787018,,,0,,,0
n4411562346,,Terminus Phalènes,,5.3296306,-4.061373,,,0,,,0
n4999458824,,Terminus CHU de Treichville,,5.2948647,-4.004071,,,0,,,0
n5057165424,,ex Pharmacie Mokey,,5.3022132,-4.01176,,,0,,,0
